token_clean,weighted_score
good,0.00019791188621505563
effect,0.00014071974220929463
review,0.00013926885598160077
night,0.00013738258774269484
morning,0.00010771781846449178
sleep,0.00010397121400019607
form,0.00010314616280428346
daughter,8.303879855805258e-05
self,7.302489447158377e-05
care,5.548147074474725e-05
gradually,4.2465225082654454e-05
asleep,3.880686986486504e-05
evening,3.829144968773179e-05
wheelchair,3.818352121289603e-05
today,3.774432257202059e-05
safety,3.249993870286435e-05
room,2.739905374283994e-05
time,2.6341066389197444e-05
pain,2.5663672865682146e-05
ongoing,2.5071996532331543e-05
bed,2.497493527898998e-05
comfortable,2.4402697138343934e-05
early,2.3955136111318058e-05
till,2.127034653089023e-05
report,1.9648379642671533e-05
intake,1.889493093667028e-05
overnight,1.6433158041393503e-05
request,1.582479615902805e-05
medication,1.4348851977626847e-05
toilet,1.3989968991093877e-05
