token_clean,weighted_score
night,0.00026227565435139075
good,0.000245464466003058
care,0.00021868283661764977
plan,0.00019165141843191567
today,0.00018282455179050047
morning,0.00017960737013733843
safety,0.0001427756095858725
new,0.00014273815681336736
comfortable,0.00011332399858206995
day,0.00010300613898699292
usual,6.841532088754236e-05
bright,6.544303885105833e-05
form,5.1876711536292935e-05
home,4.365298449333822e-05
medication,4.1269721475416195e-05
review,2.958647886354465e-05
ongoing,2.8411427722145726e-05
breakfast,2.5401017920478018e-05
sleep,2.5186775229921275e-05
personal,2.3818425256003305e-05
pain,2.0780386140415454e-05
content,2.0597474268452777e-05
self,2.0016695952589814e-05
alert,1.9848726232360375e-05
bed,1.7203555549903926e-05
present,1.711214349992949e-05
safe,1.4576128026240753e-05
staff,1.456458869622045e-05
intake,1.4327368031623572e-05
check,1.3619405593726529e-05
