token_clean,weighted_score
sugar,0.003153362826911711
son,0.0002539445248433614
good,0.00024256816573084436
blood,0.0001530289252611684
care,0.00012455934850621659
review,0.00011962592907175069
today,0.00010180587034775928
morning,8.772015754247702e-05
night,8.348620911645509e-05
sleep,6.355315366013128e-05
plan,5.644425986948377e-05
staff,4.981904947216238e-05
bed,4.5842805543540596e-05
new,4.494722130126175e-05
cough,4.3212112329792887e-05
alert,4.303030623984281e-05
form,4.2969166910832874e-05
safety,4.278460574022905e-05
day,3.9536128233043794e-05
usual,3.8972248216544993e-05
self,3.3370266574601823e-05
asleep,2.5774484549851073e-05
comfortable,2.42732801015507e-05
intake,2.3689355398899596e-05
diet,1.7181696821911777e-05
room,1.6991620448213694e-05
comfortably,1.6685690520377897e-05
mobility,1.6247020391365668e-05
time,1.4463488527144111e-05
till,1.3580675202309439e-05
