token_clean,weighted_score
new,-0.0017128564406661173
early,-0.0016664743026736787
infection,-0.0012222403481029966
day,-0.0007672530197486177
ongoing,-0.0007492159146920408
evaluation,-0.0007365556513200219
report,-0.0005143093130910145
chest,-0.0003271370104222121
blood,-0.0002836883595298757
note,-0.00027034179368117396
area,-0.0002529837745967117
cough,-0.00011677393621808595
continue,-6.894172205880374e-06
plan,-3.854304260075094e-06
chart,0.0
anti,0.0
tin,0.0
sul,0.0
con,0.0
do,0.0
biotic,0.0
remain,0.0
resident,0.0
observe,0.0
well,0.0
order,0.00018406541165540526
review,0.0002835240691237583
son,0.0008129676872321683
sugar,0.0009438895111934395
time,0.0013175371006622393
