token_clean,weighted_score
self,0.0019809998757615095
asleep,0.0014038513169701609
comfortable,0.0006775117927250488
peaceful,0.0006053878247652965
ongoing,0.0004894596038993131
care,0.000318717564692117
pleasant,0.0002572630872854979
doctor,0.0001753445534152485
chat,0.00016296243762702498
review,0.0001239358456199392
mobile,0.00011824412590090526
night,0.00011001418992640488
independent,9.197089770256626e-05
new,8.325036905759635e-05
morning,8.310200994160543e-05
good,7.69998240219455e-05
safety,6.710608123103955e-05
appointment,5.9695596504960454e-05
bed,5.935201972970658e-05
usual,5.698554822779401e-05
today,5.06996384674132e-05
sleep,5.065077454994147e-05
independently,3.9103107827023035e-05
lunch,3.433603746216367e-05
form,3.3181809627047364e-05
restaurant,3.2068037816856104e-05
time,2.964382661273007e-05
staff,2.7274426017723763e-05
personal,2.4375901479534653e-05
room,2.2344856501732e-05
