token_clean,weighted_score
cream,0.0007775358979239031
weekly,0.00044585234755777314
asleep,0.0003623653875115219
care,0.0002996953797868311
comfortable,0.00029077945892448285
good,0.00021674863285809216
peaceful,0.00017886123945747313
friend,0.00016235613676838853
ongoing,0.00014416822161156294
safety,0.00013224199606921502
night,0.00012382190120394264
area,0.00012249627927953042
morning,0.00012012794116299644
red,7.012679176822123e-05
bed,6.783955057912052e-05
comfortably,6.037598878498459e-05
use,5.7383441574109264e-05
new,5.5827540701561486e-05
sore,5.404349213088405e-05
alert,3.617954235002474e-05
garden,3.5463039778851195e-05
check,3.444879681563691e-05
content,3.1195616034037735e-05
sleep,2.923055764597691e-05
staff,2.749400785118722e-05
bright,2.6996378260554278e-05
time,2.604144707079292e-05
continue,2.5394605476375795e-05
form,2.2293874202603995e-05
hand,2.2143389337231303e-05
