token_clean,weighted_score
present,-0.005204401533917067
day,-0.001677177268576031
skin,-0.0012968062890326146
care,-0.000896697910492135
evaluation,-0.0007571561972397666
continue,-0.0007179539869573299
complaint,-0.0006880294227197266
area,-0.0005845264071995772
monitor,-0.00047284013885950796
concern,-0.0004304939279407388
morning,-0.00034235389770308867
red,-0.0003276946369576294
rib,-0.0003024798060295722
personal,-0.00029793081347100786
time,-0.0002813012417871271
pain,-0.00026539194435572157
fall,-0.0002493065096822307
report,-0.00015051883962241883
discomfort,-0.00011415853297083347
ongoing,-0.00011121066342073781
bit,-0.0001065408897691611
overnight,-6.309143785193277e-05
observe,-4.194775382490525e-05
fluids,-4.405843447884086e-06
due,0.0
feel,0.0
chart,0.0
administer,0.0
appear,0.0
call,0.0
