token_clean,weighted_score
cream,0.0008178962766587688
night,0.0002731362659537821
today,0.00021506816130882414
good,0.00021438253294827264
review,0.00020593053536252192
comfortable,0.0001412328451125149
safety,0.00010609608895067271
care,9.825566440117697e-05
doctor,9.527459733473712e-05
new,8.808725177236744e-05
daughter,6.764797738982681e-05
bright,6.494437029824188e-05
morning,6.230058534293587e-05
alert,5.7537909766903645e-05
day,5.133581369364815e-05
progress,3.9453299814337646e-05
ongoing,3.701177778480547e-05
plan,3.499183692217517e-05
cough,3.131675426557199e-05
form,2.5591251786186003e-05
bed,2.515427567972947e-05
sleep,2.2755111078366887e-05
check,2.003201670379118e-05
home,1.719211092501607e-05
unit,1.6690914282894864e-05
usual,1.5827962675495664e-05
personal,1.5743258488176117e-05
independently,1.5443541145885353e-05
self,1.4850223336000018e-05
time,1.2558533264095122e-05
