token_clean,weighted_score
safety,-0.003656076161535958
skin,-0.002296839155550349
care,-0.0018279726249092044
safe,-0.001053130516088055
evaluation,-0.0008698771546352399
sleep,-0.0007638320086993307
form,-0.0006591690934060418
check,-0.0005815805565234604
continue,-0.0004048510626620877
plan,-0.0003720514681483266
day,-0.00016426011724013907
time,-0.00011409401880631906
arm,-3.555271681677727e-05
right,-2.8218282944679986e-06
staff,-2.7805840967252673e-06
commence,0.0
resident,0.0
line,0.0
give,0.0
ise,0.0
due,0.0
apply,0.0
con,0.0
e,0.0
tin,0.0
need,0.0
per,0.0
remain,0.0
toilet,0.0
take,0.0
